composição 1,composição 2,resultado
Água Sanitária,Desinfetante,gases tóxicos
Água Sanitária,Detergente,gases tóxicos
Água Sanitária,Álcool,composto tóxico
Água Sanitária,Vinagre,problemas de respiração;ardência nos olhos;queimadura
Água Sanitária,Amônia,composto tóxico
Água Sanitária,Alvejantes,composto tóxico
Vinagre,Bicarbonato de Sódio,explosão (se colocada em recipiente fechado)
Vinagre,Água Oxigenada,irritações na pele nos olhos e no sistema respiratório;explosão (se colocada em recipiente fechado)
Álcool,Amônia,seguro
Álcool,Alvejantes,composto tóxico
Amônia,Alvejantes,composto tóxico
